ingredient_code,ingredient_description,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total",Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,"Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,Vitamin C,Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,Zinc,10:0,12:0,14:0,16:0,16:1,18:0,18:1,18:2,18:3,18:4,20:1,20:4,20:5 n-3,22:1,22:5 n-3,22:6 n-3,4:0,6:0,8:0,ingredient_description_first,ingredient_description_second,ingredient_description_third
6472,"Soup, vegetable with beef broth, canned, prepared with equal volume water",0.0,0,9,5.35,193,415,1,5.1,0.067,0,33,0.225,0.32,0.18,0.7,4,4,4,0,0.4,18,14,3,0.395,16,79,1.21,0,0.019,1.1,253,0.82,0,0.021,0.78,43,0.0,0.0,0.023,1.0,0.0,0.06,0.0,1.2,91.59,0.33,0.0,0.0,0.005,0.105,0.01,0.055,0.21,0.275,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soup, vegetable with beef broth," canned, prepared with equal volume water"
6475,"Soup, beef broth or bouillon, powder, prepared with water",0.0,0,4,0.25,0,0,0,1.4,0.01,0,3,0.033,0.003,0.04,0.0,0,0,0,0,0.02,0,0,2,0.049,3,6,0.21,0,0.003,0.3,382,0.2,0,0.002,0.08,0,0.01,0.0,0.003,0.0,0.0,0.01,0.0,0.0,98.69,0.01,0.0,0.001,0.003,0.02,0.003,0.015,0.029,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soup, beef broth or bouillon," powder, prepared with water"
6480,"Soup, chicken broth or bouillon, dry, prepared with water",0.0,0,6,0.3,0,0,0,1.9,0.01,0,4,0.089,0.074,0.057,0.0,1,1,1,0,0.02,0,0,2,0.041,3,6,0.28,0,0.007,0.5,401,0.29,0,0.002,0.23,0,0.0,0.0,0.002,0.0,0.0,0.01,0.0,0.0,98.28,0.01,0.0,0.0,0.0,0.043,0.01,0.011,0.077,0.072,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soup, chicken broth or bouillon," dry, prepared with water"
6498,"Soup, tomato, dry, mix, prepared with water",0.0,0,29,7.17,0,174,2,7.5,0.034,8,38,0.237,0.063,0.286,0.4,11,11,11,0,0.18,32,649,10,0.926,33,111,0.93,5,0.175,1.1,356,3.9,0,0.105,0.61,20,0.06,0.0,0.058,2.0,0.0,0.22,0.0,0.8,89.88,0.13,0.011,0.013,0.046,0.123,0.018,0.055,0.207,0.047,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.008,0.005,Soup, tomato," dry, mix, prepared with water"
6559,"Soup, tomato, canned, prepared with equal volume water, commercial",0.0,0,8,7.45,0,115,0,6.3,0.029,0,32,0.067,0.077,0.056,0.5,0,0,0,0,0.29,44,5345,7,0.42,15,275,0.71,0,0.007,1.5,186,4.03,0,0.02,0.21,10,0.0,0.0,0.042,6.3,0.0,0.17,0.0,1.5,90.55,0.09,0.0,0.0,0.006,0.039,0.007,0.011,0.039,0.064,0.012,0.0,0.013,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,Soup, tomato," canned, prepared with equal volume water, commercial"
6583,"Soup, ramen noodle, any flavor, dry",0.0,0,21,60.26,2,6,0,5.5,0.126,0,440,6.156,2.198,8.117,2.9,165,45,116,70,4.11,20,0,25,5.401,115,181,10.17,0,0.255,23.1,1855,1.98,0,0.448,17.59,1,0.25,0.0,0.038,0.3,0.0,2.44,0.0,8.9,6.52,0.6,0.01,0.05,0.175,7.053,0.027,0.711,6.091,2.128,0.062,0.0,0.031,0.004,0.0,0.001,0.0,0.0,0.0,0.0,0.004,Soup, ramen noodle," any flavor, dry"
6584,"Soup, broccoli cheese, canned, condensed, commercial",0.0,0,41,7.7,0,435,4,18.4,0.03,0,87,2.0,1.7,1.6,1.8,40,40,40,0,0.3,540,0,13,0.248,42,207,2.1,30,0.04,1.5,661,2.12,0,0.02,5.3,66,0.02,0.0,0.064,2.0,0.0,0.72,0.0,51.8,82.7,0.26,0.008,0.01,0.06,0.975,0.017,0.51,1.979,1.535,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.007,0.004,Soup, broccoli cheese," canned, condensed, commercial"
6700,"Soup, vegetable broth, ready to serve",0.0,0,3,0.93,64,111,0,0.3,0.009,0,5,0.005,0.004,0.028,0.0,0,0,0,0,0.06,1,7,1,0.11,3,19,0.24,0,0.022,0.0,296,0.55,0,0.023,0.07,12,0.0,0.0,0.007,0.4,0.0,0.0,0.0,0.7,98.05,0.03,0.003,0.0,0.002,0.012,0.0,0.01,0.005,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soup, vegetable broth, ready to serve
6749,"Soup, beef and vegetables, canned, ready-to-serve",0.0,0,18,6.16,528,1110,7,11.4,0.026,0,48,0.296,0.342,0.407,1.2,9,9,9,0,0.51,119,624,10,0.978,48,174,3.18,0,0.016,3.0,326,1.25,0,0.015,1.16,115,0.17,0.0,0.126,3.6,0.0,0.45,0.0,6.0,88.22,0.56,0.001,0.002,0.03,0.242,0.024,0.133,0.271,0.3,0.022,0.0,0.001,0.013,0.001,0.0,0.005,0.0,0.0,0.0,0.0,Soup, beef and vegetables," canned, ready-to-serve"
6931,"Sauce, pasta, spaghetti/marinara, ready-to-serve",0.0,0,27,8.05,0,390,2,13.7,0.081,0,51,0.376,0.504,0.17,1.8,13,13,13,0,0.78,190,12700,18,3.917,34,319,1.41,0,0.061,1.4,419,5.5,0,0.024,1.48,32,0.0,0.0,0.173,2.0,0.0,2.4,0.0,13.9,87.4,0.2,0.003,0.001,0.002,0.107,0.002,0.039,0.365,0.429,0.079,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.002,Sauce, pasta," spaghetti/marinara, ready-to-serve"
