Food code,Main food description,Seq num,Ingredient code,Ingredient weight (g)
55100025,"Pancakes, chocolate, frozen",2,19120,5
55100030,"Pancakes, whole grain, frozen",1,18288,97
55100030,"Pancakes, whole grain, frozen",2,20077,3
55100050,"Pancakes, plain, fast food / restaurant",1,18291,140
55100050,"Pancakes, plain, fast food / restaurant",2,19335,13
55100050,"Pancakes, plain, fast food / restaurant",3,11100000,180
55100050,"Pancakes, plain, fast food / restaurant",4,1123,50
55100050,"Pancakes, plain, fast food / restaurant",5,82101000,28
55100050,"Pancakes, plain, fast food / restaurant",6,81200100,20
55100050,"Pancakes, plain, fast food / restaurant",7,2047,0.5
55100055,"Pancakes, fruit, fast food / restaurant",1,18291,140
55100055,"Pancakes, fruit, fast food / restaurant",2,19335,13
55100055,"Pancakes, fruit, fast food / restaurant",3,11100000,180
55100055,"Pancakes, fruit, fast food / restaurant",4,1123,50
55100055,"Pancakes, fruit, fast food / restaurant",5,82101000,28
55100055,"Pancakes, fruit, fast food / restaurant",6,81200100,20
55100055,"Pancakes, fruit, fast food / restaurant",7,2047,0.5
55100055,"Pancakes, fruit, fast food / restaurant",8,9054,120
55100060,"Pancakes, chocolate, fast food / restaurant",1,18291,140
55100060,"Pancakes, chocolate, fast food / restaurant",2,19335,13
55100060,"Pancakes, chocolate, fast food / restaurant",3,11100000,180
55100060,"Pancakes, chocolate, fast food / restaurant",4,1123,50
55100060,"Pancakes, chocolate, fast food / restaurant",5,82101000,28
55100060,"Pancakes, chocolate, fast food / restaurant",6,81200100,20
55100060,"Pancakes, chocolate, fast food / restaurant",7,2047,0.5
55100060,"Pancakes, chocolate, fast food / restaurant",8,19120,85
55100065,"Pancakes, whole grain, fast food / restaurant",1,28324,140
55100065,"Pancakes, whole grain, fast food / restaurant",2,11100000,180
55100065,"Pancakes, whole grain, fast food / restaurant",3,1123,50
55100065,"Pancakes, whole grain, fast food / restaurant",4,82101000,28
55100065,"Pancakes, whole grain, fast food / restaurant",5,81200100,20
55100065,"Pancakes, whole grain, fast food / restaurant",6,2047,0.5
55100080,"Pancakes, school",1,18288,90
55100080,"Pancakes, school",2,20077,10
55101000,"Pancakes, plain",1,18291,140
55101000,"Pancakes, plain",2,19335,13
55101000,"Pancakes, plain",3,11100000,180
55101000,"Pancakes, plain",4,1123,50
55101000,"Pancakes, plain",5,82101000,14
55101000,"Pancakes, plain",6,81200100,20
55101015,"Pancakes, plain, reduced fat",1,18291,140
55101015,"Pancakes, plain, reduced fat",2,19335,13
55101015,"Pancakes, plain, reduced fat",3,11100000,180
55101015,"Pancakes, plain, reduced fat",4,1123,50
55101015,"Pancakes, plain, reduced fat",5,82101000,5
55101015,"Pancakes, plain, reduced fat",6,81200100,20
55103000,"Pancakes, fruit",1,18291,140
55103000,"Pancakes, fruit",2,19335,13
55103000,"Pancakes, fruit",3,11100000,180
55103000,"Pancakes, fruit",4,1123,50
55103000,"Pancakes, fruit",5,82101000,14
55103000,"Pancakes, fruit",6,81200100,20
55103000,"Pancakes, fruit",7,9054,120
55103020,"Pancakes, pumpkin",1,18291,140
55103020,"Pancakes, pumpkin",2,19335,13
55103020,"Pancakes, pumpkin",3,11100000,180
55103020,"Pancakes, pumpkin",4,1123,50
55103020,"Pancakes, pumpkin",5,82101000,14
55103020,"Pancakes, pumpkin",6,81200100,20
55103020,"Pancakes, pumpkin",7,11424,85
55103100,"Pancakes, chocolate",1,18291,140
55103100,"Pancakes, chocolate",2,19335,13
55103100,"Pancakes, chocolate",3,11100000,180
55103100,"Pancakes, chocolate",4,1123,50
55103100,"Pancakes, chocolate",5,82101000,14
55103100,"Pancakes, chocolate",6,81200100,20
55103100,"Pancakes, chocolate",7,19120,85
55105200,"Pancakes, whole grain",1,28324,140
55105200,"Pancakes, whole grain",2,11100000,180
55105200,"Pancakes, whole grain",3,1123,50
55105200,"Pancakes, whole grain",4,82101000,14
55105200,"Pancakes, whole grain",5,81200100,20
55105205,"Pancakes, whole grain, reduced fat",1,28324,140
55105205,"Pancakes, whole grain, reduced fat",2,11100000,180
55105205,"Pancakes, whole grain, reduced fat",3,1123,50
55105205,"Pancakes, whole grain, reduced fat",4,82101000,5
55105205,"Pancakes, whole grain, reduced fat",5,81200100,20
55106000,"Pancakes, gluten free",1,28347,100
55200010,"Waffle, NFS",1,55200020,100
55200020,"Waffle, plain, frozen",1,18933,100
55200030,"Waffle, plain, reduced fat",1,20081,140
55200030,"Waffle, plain, reduced fat",2,11100000,180
55200030,"Waffle, plain, reduced fat",3,82101000,10
55200030,"Waffle, plain, reduced fat",4,1123,25
55200030,"Waffle, plain, reduced fat",5,2047,3
55200040,"Waffle, fruit, frozen",1,18933,95
55200040,"Waffle, fruit, frozen",2,9054,5
55200050,"Waffle, chocolate, frozen",1,18933,95
55200050,"Waffle, chocolate, frozen",2,19120,5
55200060,"Waffle, whole grain, frozen",1,28304,95
55200060,"Waffle, whole grain, frozen",2,82101000,5
55200070,"Waffle, whole grain, reduced fat",1,28304,100
55200080,"Waffle, whole grain, fruit, frozen",1,28304,95
55200080,"Waffle, whole grain, fruit, frozen",2,82101000,5
55200080,"Waffle, whole grain, fruit, frozen",3,9054,5
55200100,"Waffle, plain, fast food / restaurant",1,18291,140
55200100,"Waffle, plain, fast food / restaurant",2,19335,13
55200100,"Waffle, plain, fast food / restaurant",3,11100000,180
55200100,"Waffle, plain, fast food / restaurant",4,1123,50
55200100,"Waffle, plain, fast food / restaurant",5,82101000,56
55200100,"Waffle, plain, fast food / restaurant",6,81200100,20
55200100,"Waffle, plain, fast food / restaurant",7,2047,0.5
55200110,"Waffle, chocolate, fast food / restaurant",1,18291,140
55200110,"Waffle, chocolate, fast food / restaurant",2,19335,13
55200110,"Waffle, chocolate, fast food / restaurant",3,11100000,180
55200110,"Waffle, chocolate, fast food / restaurant",4,1123,50
55200110,"Waffle, chocolate, fast food / restaurant",5,82101000,56
55200110,"Waffle, chocolate, fast food / restaurant",6,81200100,20
55200110,"Waffle, chocolate, fast food / restaurant",7,2047,0.5
55200110,"Waffle, chocolate, fast food / restaurant",8,19120,85
55200120,"Waffle, fruit, fast food / restaurant",1,18291,140
55200120,"Waffle, fruit, fast food / restaurant",2,19335,13
55200120,"Waffle, fruit, fast food / restaurant",3,11100000,180
55200120,"Waffle, fruit, fast food / restaurant",4,1123,50
55200120,"Waffle, fruit, fast food / restaurant",5,82101000,56
55200120,"Waffle, fruit, fast food / restaurant",6,81200100,20
55200120,"Waffle, fruit, fast food / restaurant",7,2047,0.5
55200120,"Waffle, fruit, fast food / restaurant",8,9054,120
55200130,"Waffle, whole grain, fast food / restaurant",1,28324,140
55200130,"Waffle, whole grain, fast food / restaurant",2,11100000,180
55200130,"Waffle, whole grain, fast food / restaurant",3,1123,50
55200130,"Waffle, whole grain, fast food / restaurant",4,82101000,56
55200130,"Waffle, whole grain, fast food / restaurant",5,81200100,20
55200130,"Waffle, whole grain, fast food / restaurant",6,2047,0.5
55200200,"Waffle, school",1,28304,100
55201000,"Waffle, plain",1,18291,140
55201000,"Waffle, plain",2,19335,13
55201000,"Waffle, plain",3,11100000,180
55201000,"Waffle, plain",4,1123,50
55201000,"Waffle, plain",5,82101000,28
55201000,"Waffle, plain",6,81200100,20
55203000,"Waffle, fruit",1,18291,140
55203000,"Waffle, fruit",2,19335,13
55203000,"Waffle, fruit",3,11100000,180
55203000,"Waffle, fruit",4,1123,50
55203000,"Waffle, fruit",5,82101000,28
55203000,"Waffle, fruit",6,81200100,20
55203000,"Waffle, fruit",7,9054,120
55203600,"Waffle, chocolate",1,18291,140
55203600,"Waffle, chocolate",2,19335,13
55203600,"Waffle, chocolate",3,11100000,180
55203600,"Waffle, chocolate",4,1123,50
55203600,"Waffle, chocolate",5,82101000,28
55203600,"Waffle, chocolate",6,81200100,20
55203600,"Waffle, chocolate",7,19120,85
55203700,"Waffle, cinnamon",1,18291,140
55203700,"Waffle, cinnamon",2,19335,13
55203700,"Waffle, cinnamon",3,11100000,180
55203700,"Waffle, cinnamon",4,1123,50
55203700,"Waffle, cinnamon",5,82101000,28
55203700,"Waffle, cinnamon",6,81200100,20
55203700,"Waffle, cinnamon",7,2010,1
55205000,"Waffle, whole grain",1,28324,140
55205000,"Waffle, whole grain",2,11100000,180
55205000,"Waffle, whole grain",3,1123,50
55205000,"Waffle, whole grain",4,82101000,28
55205000,"Waffle, whole grain",5,81200100,20
55208000,"Waffle, gluten free",1,28346,100
55300010,"French toast, NFS",1,55301000,100
55300020,"French toast, frozen",1,18069,135
55300020,"French toast, frozen",2,1123,45
55300020,"French toast, frozen",3,11100000,70
55300020,"French toast, frozen",4,19335,15
55300020,"French toast, frozen",5,14411,20
55300050,"French toast, fast food / restaurant",1,18069,90
55300050,"French toast, fast food / restaurant",2,1123,50
55300050,"French toast, fast food / restaurant",3,11100000,16
55300050,"French toast, fast food / restaurant",4,19335,8
55300050,"French toast, fast food / restaurant",5,81200100,7
55300050,"French toast, fast food / restaurant",6,81100000,10
55300050,"French toast, fast food / restaurant",7,19336,2
55300060,"French toast, school",1,18075,135
55300060,"French toast, school",2,1123,50
55300060,"French toast, school",3,1082,70
55300060,"French toast, school",4,14411,20
55301000,"French toast, plain",1,18069,60
55301000,"French toast, plain",2,1123,50
55301000,"French toast, plain",3,11100000,16
55301000,"French toast, plain",4,19335,8
55301000,"French toast, plain",5,81200100,7
55301015,"French toast, whole grain",1,99995130,60
55301015,"French toast, whole grain",2,1123,50
55301015,"French toast, whole grain",3,11100000,16
55301015,"French toast, whole grain",4,19335,8
55301015,"French toast, whole grain",5,81200100,7
55301025,"French toast, gluten free",1,28337,60
55301025,"French toast, gluten free",2,1123,50
55301025,"French toast, gluten free",3,11100000,16
55301025,"French toast, gluten free",4,19335,8
55301025,"French toast, gluten free",5,81200100,7
55301031,French toast sticks,1,18033,150
55301031,French toast sticks,2,1123,10
55301031,French toast sticks,3,11100000,65
55301031,French toast sticks,4,2047,0.75
55301031,French toast sticks,5,19335,20
55301031,French toast sticks,6,82101000,15
55301040,"French toast sticks, fast food / restaurant",1,21024,10
55301048,"French toast sticks, school",1,18075,135
55301048,"French toast sticks, school",2,1123,50
55301048,"French toast sticks, school",3,1082,70
55301048,"French toast sticks, school",4,14411,20
55400010,"Crepe, NFS",1,55401000,100
55401000,"Crepe, plain",1,1123,100
55401000,"Crepe, plain",2,11100000,162.748
55401000,"Crepe, plain",3,4615,17.041
55401000,"Crepe, plain",4,20081,62.5
55401000,"Crepe, plain",5,2047,1.5
55401000,"Crepe, plain",6,19335,4.167
55501000,Chinese pancake,1,20044,100
55501000,Chinese pancake,2,14411,76.2
55610300,"Dumpling, no meat",1,20081,250
55610300,"Dumpling, no meat",2,18369,18.4
55610300,"Dumpling, no meat",3,11100000,244
55610300,"Dumpling, no meat",4,2047,6
55610300,"Dumpling, no meat",5,4615,25.625
55610300,"Dumpling, no meat",6,14429,481.7
55701000,Cake made with glutinous rice,1,20061,453.6
55701000,Cake made with glutinous rice,2,14411,474
55701000,Cake made with glutinous rice,3,19335,500
55701000,Cake made with glutinous rice,4,18369,4.6
55701000,Cake made with glutinous rice,5,2052,4.333
55701000,Cake made with glutinous rice,6,12117,420
55702000,Idli,1,20055,87
55702000,Idli,2,16086,98
55702000,Idli,3,2047,1
55702100,"Dosa, plain",1,20044,555
55702100,"Dosa, plain",2,16069,192
55702100,"Dosa, plain",3,14411,711
55702100,"Dosa, plain",4,2024,0.525
55702100,"Dosa, plain",5,82101000,56
55702100,"Dosa, plain",6,2047,12
55703000,Cake made with glutinous rice and dried beans,1,20055,870
55703000,Cake made with glutinous rice and dried beans,2,2047,18
55703000,Cake made with glutinous rice and dried beans,3,16099,30
55703000,Cake made with glutinous rice and dried beans,4,16117,52.5
55703000,Cake made with glutinous rice and dried beans,5,16082,70
55801000,Funnel cake with sugar,1,11100000,488
55801000,Funnel cake with sugar,2,1123,100
55801000,Funnel cake with sugar,3,20081,250
55801000,Funnel cake with sugar,4,18369,4.6
55801000,Funnel cake with sugar,5,2047,3
55801000,Funnel cake with sugar,6,19336,90
55801000,Funnel cake with sugar,7,82101000,93.56
55801010,Funnel cake with sugar and fruit,1,11100000,488
55801010,Funnel cake with sugar and fruit,2,1123,100
55801010,Funnel cake with sugar and fruit,3,20081,250
55801010,Funnel cake with sugar and fruit,4,18369,4.6
55801010,Funnel cake with sugar and fruit,5,2047,3
55801010,Funnel cake with sugar and fruit,6,19336,90
55801010,Funnel cake with sugar and fruit,7,19137,340
55801010,Funnel cake with sugar and fruit,8,82101000,127.56
56104000,"Pasta, vegetable, cooked",1,20106,100
56104000,"Pasta, vegetable, cooked",2,2047,0.24
56112000,"Noodles, cooked",1,20110,100
56112000,"Noodles, cooked",2,2047,0.6
56113000,"Noodles, whole grain, cooked",1,20125,140
56113000,"Noodles, whole grain, cooked",2,2047,0.75
56113990,"Noodles, vegetable, cooked",1,20112,100
56113990,"Noodles, vegetable, cooked",2,2047,0.6
56116000,"Noodles, chow mein",1,20118,100
56116990,"Long rice noodles, made from mung beans, cooked",1,16082,24
56116990,"Long rice noodles, made from mung beans, cooked",2,14411,76
56117090,"Rice noodles, cooked",1,20134,100
56117090,"Rice noodles, cooked",2,2047,0.6
56130000,"Pasta, cooked",1,20121,100
56130000,"Pasta, cooked",2,2047,0.6
56132990,"Pasta, whole grain, cooked",1,20125,100
56132990,"Pasta, whole grain, cooked",2,2047,0.6
56140100,"Pasta, gluten free",1,20657,100
56200300,"Cereal, cooked, NFS",1,56203056,100
56200410,Barley,1,20006,157
56200410,Barley,2,81100000,5
56200410,Barley,3,2047,0.75
56200510,Buckwheat groats,1,20010,198
56200510,Buckwheat groats,2,2047,0.75
56200510,Buckwheat groats,3,81103080,9.583
56200990,"Grits, NFS",1,8090,37
56200990,"Grits, NFS",2,14411,240
56200990,"Grits, NFS",3,2047,0.4
56200990,"Grits, NFS",4,81100000,5
56201050,"Grits, regular or quick, made with water, NS as to fat",1,8090,37
56201050,"Grits, regular or quick, made with water, NS as to fat",2,14411,240
56201050,"Grits, regular or quick, made with water, NS as to fat",3,2047,0.4
56201050,"Grits, regular or quick, made with water, NS as to fat",4,81100000,5
56201051,"Grits, regular or quick, made with water, no added fat",1,8090,37
56201051,"Grits, regular or quick, made with water, no added fat",2,14411,240
56201051,"Grits, regular or quick, made with water, no added fat",3,2047,0.4
56201052,"Grits, regular or quick, made with water, fat added",1,8090,37
56201052,"Grits, regular or quick, made with water, fat added",2,14411,240
56201052,"Grits, regular or quick, made with water, fat added",3,2047,0.4
56201052,"Grits, regular or quick, made with water, fat added",4,81100000,5
56201090,"Grits, with cheese, NS as to fat",1,8090,37
56201090,"Grits, with cheese, NS as to fat",2,14411,240
56201090,"Grits, with cheese, NS as to fat",3,2047,0.4
56201090,"Grits, with cheese, NS as to fat",4,81100000,5
56201090,"Grits, with cheese, NS as to fat",5,1009,28
56201091,"Grits, with cheese, no added fat",1,8090,37
56201091,"Grits, with cheese, no added fat",2,14411,240
56201091,"Grits, with cheese, no added fat",3,2047,0.4
56201091,"Grits, with cheese, no added fat",4,1009,28
56201092,"Grits, with cheese, fat added",1,8090,37
56201092,"Grits, with cheese, fat added",2,14411,240
56201092,"Grits, with cheese, fat added",3,2047,0.4
56201092,"Grits, with cheese, fat added",4,81100000,5
56201092,"Grits, with cheese, fat added",5,1009,28
56201210,"Grits, instant, made with water, no added fat",1,8092,28
56201210,"Grits, instant, made with water, no added fat",2,14411,120
56201220,"Grits, instant, made with water, fat added",1,8092,28
56201220,"Grits, instant, made with water, fat added",2,14411,120
56201220,"Grits, instant, made with water, fat added",3,81100000,5
56201230,"Grits, instant, made with water, NS as to fat",1,8092,28
56201230,"Grits, instant, made with water, NS as to fat",2,14411,120
56201230,"Grits, instant, made with water, NS as to fat",3,81100000,5
56201515,"Cornmeal mush, NS as to fat",1,20022,37
56201515,"Cornmeal mush, NS as to fat",2,14411,240
56201515,"Cornmeal mush, NS as to fat",3,2047,0.4
56201515,"Cornmeal mush, NS as to fat",4,81100000,5
56201516,"Cornmeal mush, no added fat",1,20022,37
56201516,"Cornmeal mush, no added fat",2,14411,240
56201516,"Cornmeal mush, no added fat",3,2047,0.4
56201517,"Cornmeal mush, fat added",1,20022,37
56201517,"Cornmeal mush, fat added",2,14411,240
56201517,"Cornmeal mush, fat added",3,2047,0.4
56201517,"Cornmeal mush, fat added",4,81100000,5
56201600,"Masa harina, cooked",1,20017,57
56201600,"Masa harina, cooked",2,14411,948
56201600,"Masa harina, cooked",3,2047,3
56201600,"Masa harina, cooked",4,20019,57
56202000,Millet,1,20032,174
56202000,Millet,2,2047,0.75
56202900,"Oatmeal, fast food, plain",1,8120,40
56202900,"Oatmeal, fast food, plain",2,14411,210
56202900,"Oatmeal, fast food, plain",3,2047,0.5
56202900,"Oatmeal, fast food, plain",4,1049,30
56202905,"Oatmeal, fast food, flavored",1,8120,40
56202905,"Oatmeal, fast food, flavored",2,14411,210
56202905,"Oatmeal, fast food, flavored",3,2047,1
56202905,"Oatmeal, fast food, flavored",4,19334,25
56202905,"Oatmeal, fast food, flavored",5,1049,30
56202960,"Oatmeal, NFS",1,8120,40
56202960,"Oatmeal, NFS",2,14411,240
56202960,"Oatmeal, NFS",3,2047,0.4
56202960,"Oatmeal, NFS",4,81100000,5
56203056,"Oatmeal, regular or quick, made with water, no added fat",1,8120,40
56203056,"Oatmeal, regular or quick, made with water, no added fat",2,14411,240
56203056,"Oatmeal, regular or quick, made with water, no added fat",3,2047,0.4
56203057,"Oatmeal, regular or quick, made with water, fat added",1,8120,40
56203057,"Oatmeal, regular or quick, made with water, fat added",2,14411,240
56203057,"Oatmeal, regular or quick, made with water, fat added",3,2047,0.4
56203057,"Oatmeal, regular or quick, made with water, fat added",4,81100000,5
56203066,"Oatmeal, regular or quick, made with milk, no added fat",1,8120,40
56203066,"Oatmeal, regular or quick, made with milk, no added fat",2,11100000,240
56203066,"Oatmeal, regular or quick, made with milk, no added fat",3,2047,0.4
56203067,"Oatmeal, regular or quick, made with milk, fat added",1,8120,40
56203067,"Oatmeal, regular or quick, made with milk, fat added",2,11100000,240
56203067,"Oatmeal, regular or quick, made with milk, fat added",3,2047,0.4
56203067,"Oatmeal, regular or quick, made with milk, fat added",4,81100000,5
56203076,"Oatmeal, regular or quick, made with non-dairy milk, no added fat",1,8120,40
56203076,"Oatmeal, regular or quick, made with non-dairy milk, no added fat",2,11300100,240
