Food code,Main food description,Additional food description
54102060,"Crackers, Cuban",
54102100,"Graham crackers, reduced fat",Nabisco 100 Calorie Honey Maid Cinnamon Thin Crisps; Nabisco Honey Maid Low Fat Grahams; low fat graham crackers; fat free
54102200,"Graham crackers, sandwich, with filling","Keebler Fudge Graham Cracker Sandwiches; Honey Maid Grahamfuls, all flavors"
54103000,"Crackers, breakfast biscuit","BelVita, all flavors; Belvita Soft Baked"
54200100,"Crackers, butter, reduced sodium",lightly salted; hint of salt; low sodium; Low Sodium Ritz
54201010,"Crackers, matzo, reduced sodium",with wheat germ; sodium free; unsalted; low sodium
54202020,"Crackers, saltine, reduced sodium",unsalted tops; Premium; low sodium; low sodium soda crackers; low sodium oyster crackers; low salt; low sodium oyster or chowder crackers; hint of salt
54204020,"Crackers, wheat, reduced sodium","low sodium; Wheat Thins Crackers, Wheat Thins Hint of Salt"
54204030,"Crackers, woven wheat, reduced sodium","reduced sodium woven wheat crackers; whole grain and reduced sodium; low sodium 100% stoned wheat wafer; low sodium woven wheat crackers; whole grain and low sodium; Triscuit, whole wheat, low sodium; Triscuit Hint of Salt, whole grain"
54301010,"Crackers, butter, plain","sesame seed crackers; Keebler Toasteds; Chicken in a Biskit; cracker sticks; Keebler Club Crackers, all flavors; Keebler Club Minis; Keebler Town House Original; Town House Toppers; Town House, NFS; Club, NFS"
54301020,"Crackers, butter, flavored","vegetable crackers; Sociables; Pringles Cracker Stix; Keebler Town House Flipsides, all flavors; butter and pretzel crackers"
54301030,"Crackers, butter (Ritz)","Ritz, all flavors; Ritz Minis; Ritz, NFS; Handi Snack Ritz crackers"
54301100,"Crackers, butter, reduced fat","Keebler Reduced Fat Town House; Nabisco Reduced Fat Ritz; Kebbler Club Crackers, reduced fat; fat free; reduced fat and reduced sodium"
54304000,"Crackers, cheese","cheese sticks; Better Cheddar; Cheese Nips; cheese crackers, NFS; Annie's Cheddar Bunnies"
54304005,"Crackers, cheese (Cheez-It)","all flavors; 100 Calorie Cheez-It; Cheez-It Zingz; Cheez-It, NFS"
54304020,"Crackers, cheese (Goldfish)",all flavors; Flavor Blasted; Goldfish Cracker Puffs
54304100,"Crackers, cheese, reduced fat","Cheez-It Reduced Fat Crackers, all flavors; Reduced Fat Cheese Nips"
54304110,"Crackers, cheese, reduced sodium",
54304150,"Crackers, cheese, whole grain",Cheez-It Whole Grain Crackers; Kashi Cheese Crackers; Whole Grain Cheddar Goldfish; Annie's Whole Wheat Bunnies
54305010,"Crackers, crispbread",any grain; Armenian cracker bread; Wasa Sesame Crispbread; Ry Krisp; Wasa Rye Crispbread; Finn Rye Crisp; Norwegian Flatbread cracker; RyVita Crispbread; Ry Krisp; Wasa Fiber Crispbread
54305020,"Crackers, flatbread","any grain; flatbread cracker, NFS; Wheat Thins Flatbread; Keebler Town House Flatbread Crisps; RyVita Thins; Lavosh/Lahvosh cracker"
54307000,"Crackers, matzo",matzo farfel
54308000,"Crackers, milk",
54313000,"Crackers, oyster",chowder cracker
54318000,"Chips, rice",all flavors; brown rice crisp; Blue Ginger Multi-Grain; Riceworks
54318500,Rice cake,"all flavors; puffed rice cake with seeds and other grains; mini rice cakes, NFS; Quaker Popped; gluten free; Quaker, lightly salted; low sodium; salt free; Quaker salt free; unsalted rice cake with seeds and other grains"
54319000,"Crackers, rice",gluten free rice crackers; rice thins; Crunchmaster; Edward and Sons; Hot Kid; KA-ME (Kame); Nabisco Rice Thins; San-J; Sesmark; brown rice cracker
54319005,"Crackers, rice and nuts",Blue Diamond Nut Thins
54319020,Popcorn cake,puffed corn and rice cake; Quaker Caramel Corn Cake; Quaker Popped Kettle Corn popcorn cakes
54319500,Rice paper,rice paper wrappers or banh trang
54325000,"Crackers, saltine","soda crackers; Premium; Zesta; saltine, NFS"
54325010,"Crackers, saltine, reduced fat",fat free soda crackers; Premium; fat free
54325060,"Crackers, saltine, multigrain",wheat; whole grain; Zesta Whole Wheat; Premium; Krispy Wheat
54326000,"Crackers, multigrain","Special K Multigrain Snack Crackers; Multigrain Town House Toppers; Wheat Thins Crackers, multigrain; Club Crackers, multigrain; Keebler Multi-Grain Club Crackers; Keebler Club Minis Multi-Grain; low sodium; salt free; reduced fat"
54328000,"Crackers, sandwich",
54328100,"Crackers, sandwich, peanut butter filled","butter crackers; wheat crackers; Nabs Peanut Butter Sandwiches; peanut butter and jelly filled; Austin; Keebler; Lance; Munchies Peanut Butter on Toast; peanut butter sandwich crackers, NFS; Combos; Lance Toast Chee; Munchies Peanut Butter on Cheese"
54328105,"Crackers, sandwich, peanut butter filled (Ritz)","Crackerfuls; Ritz Bits; Ritz, NFS"
54328110,"Crackers, sandwich, reduced fat, peanut butter filled",Austin; Lance Reduced Fat Toast Chee; low fat sandwich cracker
54328120,"Crackers, whole grain, sandwich, peanut butter filled",Lance
54328200,"Crackers, sandwich, cheese filled","butter crackers; rye crackers; wheat crackers; Austin; Keebler; Lance; Munchies Cheese on Toast; Nabs Cheese Sandwiches; cheese sandwich crackers, NFS; Combos; Austin; Keebler; Munchies Cheese on Cheese"
54328210,"Crackers, sandwich, cheese filled (Ritz)",Crackerfuls; Ritz Bits
54336000,"Crackers, water",Carr's; table water crackers; water biscuits
54336100,"Crackers, wonton",won ton chips; wonton crackers
54337010,"Crackers, woven wheat",all flavors; whole grain; whole wheat
54337020,"Crackers, woven wheat, plain (Triscuit)","Triscuit, original; Triscuit Minis; Triscuit Thin Crisps Original; Triscuit, NFS; whole grain"
54337030,"Crackers, woven wheat, flavored (Triscuit)","Triscuit or Triscuit Thin Crisps, all flavors excluding Original; whole grain"
54337060,"Crackers, woven wheat, reduced fat","reduced fat woven wheat crackers; whole grain and reduced fat; Triscuit crackers, whole wheat, reduced fat"
54338000,"Crackers, wheat","Wheatsworth; Wheatables, all flavors; toasted wheat; cracked wheat; stoned wheat; Harvest Wheats; Ritz Crackers with Whole Wheat; Toasteds Wheat; Ritz Honey Wheat; Keebler Town House Wheat"
54338010,"Crackers, wheat, plain (Wheat Thins)","Wheat Thins Original; Wheat Thins Big; Wheat Thins Stix; Wheat Thins, NFS"
54338020,"Crackers, wheat, flavored (Wheat Thins)",all flavors; Wheat Thins Flavored Stix
54338100,"Crackers, wheat, reduced fat",Reduced Fat Wheat Thins; reduced fat and reduced sodium
54340100,"Crackers, gluten free, plain",Glutino; Van's; multigrain
54340110,"Crackers, gluten free, flavored",Glutino; Van's; cheese flavored
54350000,Baby Toddler crackers,snack
54350100,"Baby Toddler puffs, fruit",snack; other flavors
54350200,"Baby Toddler puffs, vegetable",snack
54360000,Baby Toddler crunchies,snack; any flavor; cheese puffs or melts
54360100,Baby Toddler wheels,snack; any flavor
54401011,Corn nuts,corn nuggets; plain or flavored
54401021,"Corn chips, plain","Dipsy Doodles; Bugles; corn chips, NFS"
54401026,"Corn chips, flavored","all flavors; corn-cheese chips; Dipsy Doodles, flavored"
54401031,"Corn chips, plain (Fritos)","original; scoops; Fritos, NFS"
54401035,"Corn chips, flavored (Fritos)",all flavors
54401055,Cheese flavored corn snacks,"corn-cheese puffs, curls, or twists; all flavors; Cheez Doodles; puffed corn; corn puffs, NFS"
54401065,"Cheese flavored corn snacks, reduced fat","all flavors; baked; low fat corn cheese puffs, curls, or twists; reduced fat; light; Cheetos Oven Baked; Cheetos Puff Reduced Fat; Pirate's Booty; Smartfood; puffed corn"
54401075,"Tortilla chips, plain",original; Tostitos; tostada chips; multigrain; plain nacho chips
54401081,Cheese flavored corn snacks (Cheetos),"Cheetos, puffs; Cheetos, crunchy; Cheetos Mix-Ups"
54401085,"Tortilla chips, flavored",all flavors; nacho tortilla chips; Takis; rolled tortilla chips; flavored nacho chips; flavored Tostitos
54401090,"Corn chips, reduced sodium",all flavors; corn-cheese chips; unsalted; Fritos lightly salted
54401110,"Tortilla chips, nacho cheese flavor (Doritos)",
54401111,"Tortilla chips, cool ranch flavor (Doritos)",
54401112,"Tortilla chips, other flavors (Doritos)","all other flavors, excluding cool ranch; all cheese flavors excluding nacho cheese; Doritos, NFS; Doritos Jacked; rolled Doritos; Doritos Dinamita; Doritos toasted corn"
54401121,"Tortilla chips, reduced fat, plain","baked tortilla chips, NFS; baked tortilla chips, original; Guiltless Gourmet; Baked Tostitos; low fat; fat free; baked or reduced fat nacho chips"
54401122,"Tortilla chips, reduced fat, flavored","Baked Doritos; baked tortilla chips, flavored, NFS; nacho chip; reduced fat Doritos; low fat; fat free"
54401170,"Tortilla chips, low fat, unsalted",Unsalted Baked Tostitos
54402080,"Tortilla chips, reduced sodium",all flavors; unsalted
54402200,Snack mix,"Frito Lay Munchies Snack Mix; Party Mix; SunChip, Cheetos, Doritos, Pretzel; Chip mixtures, NFS; oriental snack mix; snack mix, multigrain; Gardetto's Original Snak-ens"
54402610,"Potato chips, restructured, multigrain",Pringles multigrain; potato crisps
54402700,Pita chips,all flavors; salted; pita crackers; Stacy's Pita Chips; multigrain; plain
54403001,"Popcorn, NFS",
54403005,"Popcorn, movie theater, with added butter",
54403006,"Popcorn, movie theater, no butter added",NS as to added butter
54403010,"Popcorn, air-popped, no butter added",NS as to added butter
54403040,"Popcorn, air-popped, with added butter",
54403045,"Popcorn, popped in oil, no butter added",NS as to added butter
54403046,"Popcorn, popped in oil, with added butter",
54403051,"Popcorn, microwave, NFS",
54403052,"Popcorn, microwave, plain",salted
54403053,"Popcorn, microwave, plain, light","100 calorie packs; reduced, low, or fat free; salted"
54403054,"Popcorn, microwave, low sodium",unsalted; reduced fat
54403056,"Popcorn, microwave, butter flavored",microwave movie theater style
54403057,"Popcorn, microwave, flavored, light","100 calorie packs; butter, cheese, or kettle"
54403058,"Popcorn, microwave, cheese flavored",all flavors other than butter or kettle
54403059,"Popcorn, microwave, kettle",
54403080,"Popcorn, ready-to-eat, NFS",
54403081,"Popcorn, ready-to-eat, plain",salted
54403082,"Popcorn, ready-to-eat, plain, light","reduced, low, or fat free; salted"
54403083,"Popcorn, ready-to-eat, low sodium",unsalted; reduced fat
54403085,"Popcorn, ready-to-eat, butter flavored",movie theater style
54403087,"Popcorn, ready-to-eat, cheese flavored",all flavors other than butter or kettle
54403088,"Popcorn, ready-to-eat, flavored, light","butter, cheese, or kettle"
54403089,"Popcorn, ready-to-eat, kettle",
54403110,"Popcorn, caramel coated",popcorn balls; sugar-coated
54403120,"Popcorn, caramel coated, with nuts",Cracker Jacks; Fiddle Faddle; Crunch 'N Munch; Poppycock
54403160,"Popcorn, chocolate coated",
54404000,"Popcorn chips, plain","popcorn chips, NFS; PopCorners; popped tortilla chips"
54404010,"Popcorn chips, other flavors","all other flavors, excluding sweet; Special K; Popcorn Indiana Chip'ins; popcorn chips, flavored, NFS; PopCorners"
54404020,"Popcorn chips, sweet flavors",PopCorners
54406010,Onion flavored rings,all flavors; Funyuns
54406200,Shrimp chips,shrimp crackers; prawn crackers; Banh Phong Tom; tapioca base
54408000,"Pretzels, NFS",
54408015,"Pretzels, hard, NFS",
54408016,"Pretzels, hard, plain, salted",original
54408017,"Pretzels, hard, plain, lightly salted",
54408030,"Pretzels, hard, plain, unsalted",
54408035,"Pretzels, hard, flavored",all flavors such as cheese or honey mustard
54408070,"Pretzels, hard, multigrain",whole wheat; whole grain
54408081,"Pretzels, hard, plain, gluten free",original; NS as to salted
54408082,"Pretzels, hard, flavored, gluten free",all flavors
54408105,"Pretzel chips, hard, plain",crisps; thins; NS as to salted
54408110,"Pretzel chips, hard, flavored",all flavors; crisps; thins
54408115,"Pretzel chips, hard, gluten free",all flavors; crisps; thins; NS as to salted
54408190,"Pretzels, hard, coated, NFS",
54408200,"Pretzels, hard, chocolate coated",mint chocolate
54408210,"Pretzels, hard, white chocolate coated",white fudge; white creme
54408250,"Pretzels, hard, yogurt coated",
54408260,"Pretzels, hard, coated, gluten free",chocolate coated; yogurt coated
54408290,"Pretzels, hard, filled, NFS",
54408300,"Pretzels, hard, cheese filled","Combos, all flavors; nuggets"
54408310,"Pretzels, hard, peanut butter filled",nuggets
54408400,"Pretzels, soft, NFS",
54408405,"Pretzels, soft, ready-to-eat, NFS",
54408410,"Pretzels, soft, ready-to-eat, salted, buttered","from fast food, restaurant, or other place; lightly salted"
54408411,"Pretzels, soft, ready-to-eat, unsalted, buttered","from fast food, restaurant, or other place"
54408415,"Pretzels, soft, ready-to-eat, salted, no butter","from fast food, restaurant, or other place; lightly salted"
54408416,"Pretzels, soft, ready-to-eat, unsalted, no butter","from fast food, restaurant, or other place"
54408420,"Pretzels, soft, ready-to-eat, cinnamon sugar coated","Sweet Almond; sugar; from fast food, restaurant, or other place"
54408422,"Pretzels, soft, ready-to-eat, coated or flavored","all flavors; all coatings excluding cinnamon sugar or sugar; from fast food, restaurant, or other place; roasted garlic parmesan; sour cream and onion"
54408430,"Pretzels, soft, ready-to-eat, topped with meat","pepperoni or sausage toppings; seafood toppings; topped with meat and cheese; from fast food, restaurant, or other place"
54408432,"Pretzels, soft, ready-to-eat, topped with cheese","from fast food, restaurant, or other place"
54408450,"Pretzels, soft, from frozen, NFS",
54408455,"Pretzels, soft, from frozen, salted",homemade; lightly salted
54408456,"Pretzels, soft, from frozen, unsalted",homemade
54408460,"Pretzels, soft, from frozen, cinnamon sugar coated",sugar; homemade
54408462,"Pretzels, soft, from frozen, coated or flavored",all flavors; all coatings excluding cinnamon sugar or sugar; homemade; NS as to salt
54408465,"Pretzels, soft, from frozen, topped with meat",pepperoni or sausage toppings; seafood toppings; topped with meat and cheese; homemade
54408466,"Pretzels, soft, from frozen, topped with cheese",homemade
54408470,"Pretzels, soft, filled with cheese",from any source; stuffed with cheese
54408475,"Pretzels, soft, from school lunch",school cafeteria (K-12)
54408480,"Pretzels, soft, multigrain",whole wheat; whole grain; from any source
54408485,"Pretzels, soft, gluten free",from any source; NS as to salted
54408486,"Pretzels, soft, gluten free, cinnamon sugar coated",sugar coated; from any source
54408487,"Pretzels, soft, gluten free, coated or flavored",from any source; all flavors; all coatings or toppings excluding cinnamon sugar or sugar
54420210,Multigrain chips (Sun Chips),all flavors; plain
54420220,"Snack mix, plain (Chex Mix)",Chex Party Mix; plain or flavored
54440010,Bagel chips,all flavors
54440020,Cracker chips,all flavors; Pepperidge Farm Cracker Chips; Ritz Chips; Special K Cracker Chips; Wheat Thins Toasted Chips; multigrain Ritz Chips; Pepperidge Farm Multi-Grain Chips
55100005,"Pancakes, NFS",hot cakes
55100010,"Pancakes, plain, frozen","buttermilk; homestyle; hot cakes; frozen, NFS; reduced fat"
55100020,"Pancakes, fruit, frozen",blueberry; raisin; hot cakes
55100025,"Pancakes, chocolate, frozen",chocolate chips; hot cakes
55100030,"Pancakes, whole grain, frozen",whole wheat; multigrain; hot cakes; reduced fat
55100050,"Pancakes, plain, fast food / restaurant","buttermilk; hot cakes; fast food / restaurant, NFS"
55100055,"Pancakes, fruit, fast food / restaurant",blueberry; raisin; hot cakes
55100060,"Pancakes, chocolate, fast food / restaurant",chocolate chips; hot cakes
55100065,"Pancakes, whole grain, fast food / restaurant",whole wheat; multigrain; hot cakes
55100080,"Pancakes, school",hot cakes
55101000,"Pancakes, plain",buttermilk; hot cakes
55101015,"Pancakes, plain, reduced fat",buttermilk; hot cakes
55103000,"Pancakes, fruit",blueberry; raisin; hot cakes
55103020,"Pancakes, pumpkin",sweet potato; hot cakes
55103100,"Pancakes, chocolate",chocolate chips; hot cakes
55105200,"Pancakes, whole grain",whole wheat; multigrain; hot cakes; buckwheat
55105205,"Pancakes, whole grain, reduced fat",whole wheat; multigrain; hot cakes
55106000,"Pancakes, gluten free",hot cakes
55200010,"Waffle, NFS",
55200020,"Waffle, plain, frozen","Belgian; buttermilk; homestyle; frozen, NFS"
55200030,"Waffle, plain, reduced fat",Belgian; buttermilk; homestyle; frozen
55200040,"Waffle, fruit, frozen",blueberry
55200050,"Waffle, chocolate, frozen",chocolate chips
55200060,"Waffle, whole grain, frozen",whole wheat; multigrain; bran; reduced fat
55200070,"Waffle, whole grain, reduced fat",whole wheat; multigrain; bran; frozen
55200080,"Waffle, whole grain, fruit, frozen",blueberry; whole wheat; multigrain; bran
55200100,"Waffle, plain, fast food / restaurant","Belgian; buttermilk; fast food / restaurant, NFS"
55200110,"Waffle, chocolate, fast food / restaurant",chocolate chips
55200120,"Waffle, fruit, fast food / restaurant",blueberry
55200130,"Waffle, whole grain, fast food / restaurant",whole wheat; multigrain; bran
55200200,"Waffle, school",
55201000,"Waffle, plain",Belgian; buttermilk; homestyle
55203000,"Waffle, fruit",blueberry
55203600,"Waffle, chocolate",chocolate chips
55203700,"Waffle, cinnamon",
55205000,"Waffle, whole grain",whole wheat; multigrain; bran
55208000,"Waffle, gluten free",
55300010,"French toast, NFS",
55300020,"French toast, frozen",bites
55300050,"French toast, fast food / restaurant",
55300060,"French toast, school",
55301000,"French toast, plain",
55301015,"French toast, whole grain",whole wheat; multigrain
55301025,"French toast, gluten free",
55301031,French toast sticks,frozen
55301040,"French toast sticks, fast food / restaurant",
55301048,"French toast sticks, school",
55400010,"Crepe, NFS",blintz
55401000,"Crepe, plain",
55501000,Chinese pancake,
55610300,"Dumpling, no meat",steamed bun
55701000,Cake made with glutinous rice,Japanese rice cake Mochi; Chinese Nian gao / gau or New Year Cake; Filipino Puto cake; Korean Tteok or Duk cake
55702000,Idli,Indian steamed rice cake; dried beans
55702100,"Dosa, plain",Indian pancake or crepe
55703000,Cake made with glutinous rice and dried beans,Korean Cake 'Injolmi'
55801000,Funnel cake with sugar,
55801010,Funnel cake with sugar and fruit,
56104000,"Pasta, vegetable, cooked","spinach, tomato, tri-color or other vegetable pasta; macaroni, spaghetti, any shape of pasta"
56112000,"Noodles, cooked",pastina; egg noodles; NS as to grain type
56113000,"Noodles, whole grain, cooked",whole wheat
56113990,"Noodles, vegetable, cooked",spinach noodles
56116000,"Noodles, chow mein",Chinese noodles
56116990,"Long rice noodles, made from mung beans, cooked",transparent noodles; cellophane noodles
56117090,"Rice noodles, cooked",Chow fun rice noodles
56130000,"Pasta, cooked","macaroni, spaghetti, any shape of pasta; NS as to grain type; pasta, NFS"
56132990,"Pasta, whole grain, cooked","whole wheat; macaroni, spaghetti, any shape of pasta"
56140100,"Pasta, gluten free","macaroni, spaghetti, any shape of pasta"
56200300,"Cereal, cooked, NFS",
56200410,Barley,all liquids; with or without fat
56200510,Buckwheat groats,kasha; all liquids; with or without fat
56200990,"Grits, NFS",
56201050,"Grits, regular or quick, made with water, NS as to fat",all liquids
56201051,"Grits, regular or quick, made with water, no added fat",all liquids
56201052,"Grits, regular or quick, made with water, fat added",all liquids
56201090,"Grits, with cheese, NS as to fat",all cooking types; all liquids
56201091,"Grits, with cheese, no added fat",all cooking types; all liquids
56201092,"Grits, with cheese, fat added",all cooking types; all liquids
56201210,"Grits, instant, made with water, no added fat",all liquids
56201220,"Grits, instant, made with water, fat added",all liquids
56201230,"Grits, instant, made with water, NS as to fat",all liquids
56201515,"Cornmeal mush, NS as to fat","mush, NFS; polenta; all liquids"
56201516,"Cornmeal mush, no added fat","mush, NFS; polenta; all liquids"
56201517,"Cornmeal mush, fat added","mush, NFS; polenta; all liquids"
56201600,"Masa harina, cooked",Harina de maize
56202000,Millet,all liquids; with or without fat
56202900,"Oatmeal, fast food, plain",
56202905,"Oatmeal, fast food, flavored",all flavors
56202960,"Oatmeal, NFS",
56203056,"Oatmeal, regular or quick, made with water, no added fat",NS as to liquid
56203057,"Oatmeal, regular or quick, made with water, fat added",NS as to liquid
56203066,"Oatmeal, regular or quick, made with milk, no added fat",
56203067,"Oatmeal, regular or quick, made with milk, fat added",
56203076,"Oatmeal, regular or quick, made with non-dairy milk, no added fat",almond milk; soy milk
56203077,"Oatmeal, regular or quick, made with non-dairy milk, fat added",almond milk; soy milk
56203086,"Oatmeal, instant, plain, made with water, no added fat",instant packet; NS as to liquid
56203087,"Oatmeal, instant, plain, made with water, fat added",instant packet; NS as to liquid
56203096,"Oatmeal, instant, plain, made with milk, no added fat",instant packet
56203097,"Oatmeal, instant, plain, made with milk, fat added",instant packet
56203106,"Oatmeal, instant, plain, made with non-dairy milk, no added fat",instant packet; almond milk; soy milk
56203107,"Oatmeal, instant, plain, made with non-dairy milk, fat added",instant packet; almond milk; soy milk
56203130,"Oatmeal, instant, maple flavored, no added fat",brown sugar; instant packet; other flavors; NS as to fat
56203135,"Oatmeal, instant, maple flavored, fat added",brown sugar; instant packet; other flavors
56203155,"Oatmeal, instant, fruit flavored, no added fat",instant packet; fruit and cream; NS as to fat
56203160,"Oatmeal, instant, fruit flavored, fat added",instant packet; fruit and cream
56203555,"Oatmeal, reduced sugar",
56203610,"Oatmeal, multigrain",
56204000,"Quinoa, NS as to fat",all liquids
56204005,"Quinoa, no added fat",all liquids
56204010,"Quinoa, fat added",all liquids
56205000,"Rice, cooked, NFS",
56205001,"Rice, white, cooked, NS as to fat",basmati or jasmine rice
56205002,"Rice, white, cooked, made with oil",basmati or jasmine rice
56205004,"Rice, white, cooked, made with butter",made with animal fat or meat drippings; basmati or jasmine rice
56205006,"Rice, white, cooked, made with margarine",made with shortening; basmati or jasmine rice
56205007,"Rice, white, cooked, fat added, NS as to fat type",basmati or jasmine rice
56205008,"Rice, white, cooked, no added fat",basmati or jasmine rice
56205011,"Rice, brown, cooked, NS as to fat",
56205012,"Rice, brown, cooked, fat added, made with oil",
56205014,"Rice, brown, cooked, made with butter",made with animal fat or meat drippings
56205016,"Rice, brown, cooked, made with margarine",made with shortening
56205017,"Rice, brown, cooked, fat added, NS as to fat type",
56205018,"Rice, brown, cooked, no added fat",made without fat
56205050,Cream of rice,cream of rye
56205060,"Rice, cooked, with milk",
56205070,"Rice, sweet, cooked with honey",
56205101,Congee,Conjee; rice porridge or gruel; Asian
56205130,"Yellow rice, cooked, NS as to fat",
56205150,"Yellow rice, cooked, no added fat",
56205170,"Yellow rice, cooked, fat added",
56205190,"Rice, white, cooked, glutinous",sticky rice; sushi rice
56205205,"Rice, wild, 100%, cooked, NS as to fat",black rice
56205210,"Rice, wild, 100%, cooked, no added fat",black rice
56205215,"Rice, wild, 100%, cooked, fat added",black rice
56205300,"Rice, white and wild, cooked, no added fat","Uncle Ben's Long Grain and Wild Rice flavored, all flavors"
56205310,"Rice, brown and wild, cooked, no added fat",
56205320,"Rice, white and wild, cooked, fat added","flavored white and wild rice, NFS; Uncle Ben's Long Grain and Wild Rice flavored, all flavors"
56205330,"Rice, white and wild, cooked, NS as to fat","Uncle Ben's Long Grain and Wild Rice flavored, all flavors"
56205340,"Rice, brown and wild, cooked, fat added",
56205350,"Rice, brown and wild, cooked, NS as to fat",
56205410,"Rice, white, cooked with fat, Puerto Rican style",Arroz blanco
56206990,"Cream of wheat, NFS","farina; all liquids; NS as to regular, quick, or instant"
56207016,"Cream of wheat, regular or quick, made with water, no added fat",farina; all liquids; NS as to fat
56207017,"Cream of wheat, regular or quick, made with water, fat added",farina; all liquids
56207030,"Cream of wheat, instant, made with water, no added fat",farina; all liquids; NS as to fat
56207060,"Cream of wheat, instant, made with water, fat added",farina; all liquids
56207110,"Bulgur, no added fat",wheat pilaf; all liquids
56207120,"Bulgur, fat added",wheat pilaf; all liquids
56207130,"Bulgur, NS as to fat",wheat pilaf; all liquids
56207160,"Couscous, plain, cooked",
56207200,"Whole wheat cereal, cooked",Wheatena; Zoom; Roman Meal; Maltex; Malt-O-Meal; all liquids
56207370,"Wheat cereal, chocolate flavored, cooked",cocoa wheat cereal; Chocolate Malt-O-Meal
56208500,"Oat bran cereal, cooked",all liquids
57100100,"Cereal, ready-to-eat, NFS",NS as to cooked or ready-to-eat
57103100,"Cereal, O's, flavored","Cheerios (except plain, honey nut, multigrain); Oh's; oat cereal"
57119000,"Cereal, crunch","Cap'n Crunch, all types"
57123000,"Cereal, O's, plain",Cheerios; Oh's; oat cereal
57124200,"Cereal, chocolate puffs",Cocoa Puffs; Cookie Crisp; Krave; Smores
57125000,"Cereal, cinnamon toast",Cinnamon Toast Crunch
57126000,"Cereal, chocolate crispy",Cocoa Krispies; Cocoa Pebbles
57132000,"Cereal, corn squares","Chex, Corn"
57134000,"Cereal, corn flakes, plain",
57137000,"Cereal, corn puffs",Kix
57151000,"Cereal, rice crispy, plain",Rice Krispies
57207000,"Cereal, bran flakes, plain",All-Bran; Bran; Grape-Nuts; Fiber One
57214000,"Cereal, shredded wheat, flavored",Frosted mini wheats; spoon size
57216000,"Cereal, rice crispy, flavored","Rice Krispies, all flavors"
57221700,"Cereal, fruit rings",Froot Loops; Apple Jacks
57223000,"Cereal, fruit crispy",Fruity Pebbles
57227000,"Cereal, granola",Mueslix
57237100,"Cereal, oat bunches","Honey Bunches of Oats, all types; Oat Blenders"
57240100,"Cereal, corn squares, flavored","Chex, Honey Nut; Chex, NFS; Golden Grahams"
57241000,"Cereal, O's, honey nut","Cheerios, Honey Nut"
57301600,"Cereal, multigrain","Great Grains; Kashi, NFS; Kashi GOLEAN; Fiber One, flavored"
57304100,"Cereal, oat squares",Life; Oatmeal Squares; Alpha-Bits
57305150,"Cereal, frosted oats with marshmallows",Lucky Charms; Marshmallow Mateys
57308400,"Cereal, O's, multigrain","Cheerios, Multigrain"
57329000,"Cereal, bran flakes, flavored",raisin bran
57336000,"Cereal, rice squares","Chex, Rice"
57344000,"Cereal, K's, plain",Special K; Special K Protein
57344010,"Cereal, K's, flavored",Special K
57347000,"Cereal, flavored puffs",Corn Pops; Golden Puffs; Honeycomb; Honey Smacks; Trix
57348000,"Cereal, corn flakes, flavored",Frosted flakes; Zucaritas
57401100,"Cereal, O's, NFS","Cheerios, NFS"
57411000,"Cereal, wheat squares","Chex, Wheat"
57412000,Wheat germ,
57416000,"Cereal, plain puffs","puffed wheat, rice, or millet"
57417000,"Cereal, shredded wheat, plain",Mini wheats; spoon size
57418000,"Cereal, wheat flakes",Total; Wheaties; wheat cereal
57420100,"Cereal, other, NFS",OS
57420110,"Cereal, other, plain",OS
57420120,"Cereal, other, fruit flavored",OS
57420130,"Cereal, other, chocolate",OS
57420140,"Cereal, other, peanut butter","OS, nuts; peanut butter puffs"
57420150,"Cereal, other, honey","OS, cinnamon, marshmallows"
57420160,"Cereal, reduced sugar",
57601100,Wheat bran,millers bran
57602100,"Oats, raw",
57602500,"Cereal, oat bran, ready-to-eat",
57801000,"Baby Toddler cereal, barley, dry",fruit
57804000,"Baby Toddler cereal, oatmeal, dry",
57805000,"Baby Toddler cereal, rice, dry","dry baby cereal, NFS"
57805090,"Baby Toddler cereal, rice with fruit, dry",
57806000,"Baby Toddler cereal, multigrain with fruit, dry",whole wheat
57806050,"Baby Toddler cereal, multigrain, dry",whole wheat
57806100,"Baby Toddler cereal, oatmeal with fruit, dry",
57820000,"Baby Toddler cereal, NFS",
57820100,"Baby Toddler cereal, rice, ready-to-eat",
57820200,"Baby Toddler cereal, oatmeal, ready-to-eat","ready-to-eat baby cereal, NFS"
57820300,"Baby Toddler cereal, multigrain, ready-to-eat",whole wheat; barley
57822000,"Baby Toddler cereal, multigrain with fruit, ready-to-eat",whole wheat; barley
57823000,"Baby Toddler cereal, oatmeal with fruit, ready-to-eat",
57824000,"Baby Toddler cereal, rice with fruit, ready-to-eat",
58100360,Chilaquiles,migas; tortilla casserole
58101830,Frito pie,
58101835,Mexican pizza,
58101930,Taco or tostada salad with meat,"Taco Bell Taco Salad; with beef, steak, pork, sausage, and/or chorizo"
58101935,Taco or tostada salad with chicken,with turkey
58101940,"Taco or tostada salad, meatless",
58101945,Taco or tostada salad with meat and sour cream,"with beef, steak, pork, sausage, and/or chorizo"
58101950,Taco or tostada salad with chicken and sour cream,with turkey
58101955,"Taco or tostada salad, meatless with sour cream",
58102000,"Taco, NFS","tostada, NFS"
58102010,"Taco, corn tortilla, beef, cheese",tostada; hard taco; steak; any 2 or more meats
