Food code,Main food description,Additional food description
11710357,"Infant formula, Similac Advance, powder, made with tap water","Similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin"
11710358,"Infant formula, Similac Advance, powder, made with bottled water","Similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin"
11710359,"Infant formula, Similac Advance, powder, made with baby water","Similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin; other water"
11710371,"Infant formula, Similac Sensitive, ready-to-feed","Similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort"
11710377,"Infant formula, Similac Sensitive, powder, made with tap water","Similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort"
11710378,"Infant formula, Similac Sensitive, powder, made with bottled water","Similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort"
11710379,"Infant formula, Similac Sensitive, powder, made with baby water","Similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort; other water"
11710381,"Infant formula, Similac for Spit-Up, ready-to-feed",
11710383,"Infant formula, Similac for Spit-Up, powder, made with water",
11710481,"Toddler formula, Similac Go and Grow","Similac varieties Go and Grow Sensitive, Pure Bliss Toddler, Lamehadrin Toddler; EleCare Jr"
11710605,"Infant formula, Enfamil, NFS",NS as to variety
11710621,"Infant formula, Enfamil Premium Newborn, ready-to-feed",Enfamil Newborn
11710629,"Infant formula, Enfamil Premium Newborn, powder, made with water",Enfamil Newborn
11710631,"Infant formula, Enfamil Infant, ready-to-feed","Enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline"
11710637,"Infant formula, Enfamil Infant, powder, made with tap water","Enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline"
11710638,"Infant formula, Enfamil Infant, powder, made with bottled water","Enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline"
11710639,"Infant formula, Enfamil Infant, powder, made with baby water","Enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline; other water"
11710661,"Infant formula, Enfamil AR, ready-to-feed",
11710669,"Infant formula, Enfamil AR, powder, made with water",
11710671,"Infant formula, Enfamil Gentlease, ready-to-feed","Enfamil varieties NeuroPro Gentlease, Premium Gentlease"
11710677,"Infant formula, Enfamil Gentlease, powder, made with tap water","Enfamil varieties NeuroPro Gentlease, Premium Gentlease"
11710678,"Infant formula, Enfamil Gentlease, powder, made with bottled water","Enfamil varieties NeuroPro Gentlease, Premium Gentlease"
11710679,"Infant formula, Enfamil Gentlease, powder, made with baby water","Enfamil varieties NeuroPro Gentlease, Premium Gentlease; other water"
11710689,"Toddler formula, Enfamil Enfagrow","Enfagrow Toddler varieties Transitions, Next Step, Gentlease, Soy; Nutramigen with Enflora LGG Toddler; PurAmino Toddler"
11710801,"Toddler formula, PediaSure","PediaSure varieties Grow and Gain, with Fiber, Sidekicks"
11710807,"Toddler formula, Nido Kinder",
11710810,"Toddler formula, store brand, beginning or next stage","Kirkland, Member's Mark, Parent's Choice, Up&Up"
11710815,"Toddler formula, store brand, pediatric shake","Kirkland, Member's Mark, Parent's Choice, Up&Up"
11710905,"Infant formula, Gerber, NFS",NS as to variety
11710911,"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed","Gerber varieties Soothe Stage 1, Supplementing"
11710917,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water","Gerber varieties Soothe Stage 1, Supplementing"
11710918,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water","Gerber varieties Soothe Stage 1, Supplementing"
11710919,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water","Gerber varieties Soothe Stage 1, Supplementing; other water"
11710921,"Infant formula, Gerber Good Start Gentle, Stage 2","Gerber Good Start Soothe, Stage 2"
11710930,"Toddler formula, Gerber Good Start, Stage 3","Gerber varieties Grow, Soy"
11710935,"Infant formula, premature, powder, made with water",Enfamil Premature or EnfaCare; Similac Premature or NeoSure
11710945,"Infant formula, premature, ready-to-feed",Enfamil Premature or EnfaCare; Similac Premature or NeoSure
11710954,"Infant formula, organic, powder, made with water","store brand; Kirkland, Member's Mark; Parent's Choice; Up&Up; Earth's Best; Nature's One; Pure Bliss; Similac Organic"
11710955,"Infant formula, organic, ready-to-feed","store brand; Kirkland, Member's Mark; Parent's Choice; Up&Up; Earth's Best; Nature's One; Pure Bliss; Similac Organic"
11710967,"Infant formula, store brand, advantage or tender, powder, made with tap water","Kirkland, Member's Mark, Parent's Choice, Up&Up; Supplementation"
11710968,"Infant formula, store brand, advantage or tender, powder, made with bottled water","Kirkland, Member's Mark, Parent's Choice, Up&Up; Supplementation"
11710969,"Infant formula, store brand, advantage or tender, powder, made with baby water","Kirkland, Member's Mark, Parent's Choice, Up&Up; Supplementation; other water"
11710970,"Infant formula, store brand, gentle or sensitivity","Kirkland, Member's Mark, Parent's Choice, Up&Up"
11710980,"Infant formula, store brand, added rice","Kirkland, Member's Mark, Parent's Choice, Up&Up"
11720311,"Infant formula, Enfamil ProSobee, ready-to-feed",
11720317,"Infant formula, Enfamil ProSobee, powder, made with tap water",
11720318,"Infant formula, Enfamil ProSobee, powder, made with bottled water",
11720319,"Infant formula, Enfamil ProSobee, powder, made with baby water",other water
11720411,"Infant formula, Similac Isomil Soy, ready-to-feed",
11720417,"Infant formula, Similac Isomil Soy, powder, made with tap water",
11720418,"Infant formula, Similac Isomil Soy, powder, made with bottled water",
11720419,"Infant formula, Similac Isomil Soy, powder, made with baby water",other water
11720430,"Infant formula, Similac for Diarrhea",
11720611,"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed",
11720617,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water",
11720618,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water",
11720619,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",other water
11720809,"Infant formula, store brand, soy","Kirkland, Member's Mark, Parent's Choice, Up&Up; Supplementation"
11740311,"Infant formula, Enfamil Nutramigen, ready-to-feed",with Enflora LGG
11740313,"Infant formula, Enfamil Nutramigen, powder, made with water",with Enflora LGG
11740401,"Infant formula, Enfamil Pregestimil, ready-to-feed",
11740403,"Infant formula, Enfamil Pregestimil, powder, made with water",
11740405,"Infant formula, amino acids",EleCare Infant; Enfamil PurAmino
11740560,"Infant formula, low iron",Similac PM 60/40
11810000,"Milk, dry, not reconstituted, NS as to fat content",
11813000,"Milk, dry, not reconstituted, fat free (skim)",nonfat milk
11825000,"Whey, sweet, dry",
11830150,"Cocoa powder, not reconstituted",no dry milk
11830160,"Chocolate beverage powder, dry mix, not reconstituted",all types; hot chocolate / cocoa dry mix
11830165,"Chocolate beverage powder, light, dry mix, not reconstituted",reduced calorie; sugar free
11830260,"Milk, malted, dry mix, not reconstituted",Ovaltine; NS as to flavor
11830400,"Strawberry beverage powder, dry mix, not reconstituted",flavors other than chocolate
12100100,"Cream, NS as to light, heavy, or half and half",
12110100,"Cream, light",coffee cream; table cream
12120100,"Cream, half and half",plain
12120106,"Cream, half and half, flavored",
12120110,"Cream, half and half, fat free",low fat; plain or flavored
12130100,"Cream, heavy",whipping cream; NS as to heavy or light
12140000,"Cream, whipped",heavy; light; Reddiwip; real whipped cream; plain or flavored
12200100,"Coffee creamer, NFS",
12210200,"Coffee creamer, liquid",frozen; Coffee Mate; Carnation; Coffee Rich; Dunkin Donuts; International Delight; plain
12210210,"Coffee creamer, liquid, flavored",Coffee Mate; Bailey's; Bliss; Carnation; Coffee Rich; Dunkin Donuts; International Delight; Mocha Mix
12210260,"Coffee creamer, liquid, fat free",low fat; light; lite; Coffee Mate; Carnation; Coffee Rich; Dunkin Donuts; International Delight; plain
12210270,"Coffee creamer, liquid, fat free, flavored",light; lite; Coffee Mate; low fat; Carnation; Coffee Rich; Dunkin Donuts; International Delight; Mocha Mix
12210280,"Coffee creamer, liquid, fat free, sugar free, flavored",low fat; light; lite; Coffee Mate; Carnation; International Delight; Mocha Mix
12210310,"Coffee creamer, liquid, sugar free, flavored",Coffee Mate; Carnation; International Delight; Mocha Mix
12210400,"Coffee creamer, powder",Coffee Mate; Cremora; Carnation; plain
12210420,"Coffee creamer, powder, flavored","Coffee Mate powder, flavored; Carnation"
12210430,"Coffee creamer, powder, fat free",light; lite; low fat; Coffee Mate; Carnation; Cremora; plain
12210440,"Coffee creamer,powder, fat free, flavored",light; lite; Coffee Mate; low fat; Carnation
12210505,"Coffee creamer,powder, sugar free, flavored",fat free; light; lite; low fat; Coffee Mate; Carnation
12210520,"Coffee creamer, soy, liquid",almond; Silk; So Delicious; coconut milk creamer
12220200,Whipped topping,"Cool Whip; non-dairy; plain or flavored; frozen; Rich's Richwhip; Dream Whip; whipped topping, NFS"
12220270,"Whipped topping, fat free",light; lite; non-dairy; low fat; Cool Whip; Rich's Richwhip; plain or flavored; fat free and sugar free; frozen
12220280,"Whipped topping, sugar free",Cool Whip; non-dairy; plain or flavored; frozen; Rich's Richwhip
12310100,"Sour cream, regular",
12310350,"Sour cream, light",low fat; reduced fat
12310370,"Sour cream, fat free",nonfat
12320100,"Sour cream, imitation",nondairy
12350010,"Dip, NFS",NS as to kind of dip
12350200,"Chipotle dip, regular",jalapeno dip; Southwest dip
12350205,"Chipotle dip, light",jalapeno dip; Southwest dip; fat free; low fat; nonfat; reduced fat
12350220,"Onion dip, regular",French onion dip; toasted onion dip; green onion dip
12350225,"Onion dip, light",French onion dip; toasted onion dip; green onion dip; fat free; low fat; nonfat; reduced fat
12350230,"Ranch dip, regular",
12350235,"Ranch dip, light",fat free; low fat; nonfat; reduced fat
12350240,"Spinach dip, regular",
12350245,"Spinach dip, light",fat free; low fat; nonfat; reduced fat
12350250,"Vegetable dip, regular",dill
12350255,"Vegetable dip, light",fat free; low fat; nonfat; reduced fat; dill
13110000,"Ice cream, NFS",NS as to flavor
13110100,"Ice cream, vanilla",other flavors; swirl; in a cup; scoop
13110102,"Ice cream, vanilla, with additional ingredients","nuts, candy, cookies, chocolate or other ingredients within the ice cream; other flavors; swirl; in a cup; scoop"
13110110,"Ice cream, chocolate",in a cup; scoop
13110112,"Ice cream, chocolate, with additional ingredients","nuts, candy, cookies, chocolate, or other ingredients within the ice cream; in a cup; scoop"
13110200,"Ice cream, soft serve, vanilla","soft serve, NFS; frozen custard, NFS; other flavors; swirl; NS as to ice cream or frozen yogurt; in a cup"
13110210,"Ice cream, soft serve, chocolate",frozen custard; NS as to ice cream or frozen yogurt; in a cup
13110460,"Gelato, vanilla",other flavors; swirl
13110470,"Gelato, chocolate",
13120050,"Ice cream bar, vanilla",stick; other flavors; coatings other than chocolate
13120100,"Ice cream bar, vanilla, chocolate coated","ice cream bar, NFS; stick; other flavors; Klondike bar, NFS; Dove Bar, NFS; with nuts"
13120110,Ice cream candy bar,all flavors; light ice cream candy bar; Snickers; Butterfinger
13120140,"Ice cream bar, chocolate",stick; Klondike Bar; Dove Bar; with nuts; with or without chocolate coating
13120500,"Ice cream sandwich, vanilla",other flavors; NS as to flavor
13120510,"Ice cream sandwich, chocolate",
13120550,Ice cream cookie sandwich,Chipwich
13120730,"Ice cream cone, scooped, vanilla",other flavors; swirl
13120735,"Ice cream cone, scooped, vanilla, waffle cone",other flavors; swirl
13120740,"Ice cream cone, NFS",
13120770,"Ice cream cone, scooped, chocolate",
13120775,"Ice cream cone, scooped, chocolate, waffle cone",
13120782,"Ice cream cone, soft serve, vanilla",other flavors; swirl; McDonald's Cone
13120784,"Ice cream cone, soft serve, chocolate",
13120786,"Ice cream cone, soft serve, vanilla, waffle cone",other flavors; swirl
13120788,"Ice cream cone, soft serve, chocolate, waffle cone",
13120790,"Ice cream cone, vanilla, prepackaged","Drumstick, all flavors; prepackaged cone, NFS; other flavors; swirl; with nuts; sundae cone; Nutty Buddy"
13120792,"Ice cream cone, chocolate, prepackaged",with nuts
13120800,"Ice cream soda, flavors other than chocolate",root beer float
13120810,"Ice cream soda, chocolate",root beer float
13121000,"Ice cream sundae, NFS",
13121100,"Ice cream sundae, fruit topping",ice cream parfait
13121120,Banana split,
13121300,"Ice cream sundae, hot fudge topping",chocolate sauce or syrup
13121400,"Ice cream sundae, caramel topping",butterscotch topping
13126000,"Ice cream, fried",
13130100,"Light ice cream, NFS",
13130300,"Light ice cream, vanilla",other flavors; swirl; ice cream with sorbet or sherbet; fat or sugar free; reduced fat or sugar; in a cup; scoop
13130310,"Light ice cream, chocolate",fat or sugar free; reduced fat or sugar; in a cup; scoop
13130700,"Soft serve, blended with candy or cookies, from fast food",all flavors; McDonald's McFlurry; Dairy Queen Blizzard
13135000,"Light ice cream sandwich, vanilla",Skinny Cow; Weight Watchers; other flavors; NS as to flavor; fat or sugar free; reduced fat or sugar
13135010,"Light ice cream sandwich, chocolate",Skinny Cow; Weight Watchers; fat or sugar free; reduced fat or sugar
13140000,"Light ice cream bar, vanilla",stick; other flavors; fat or sugar free; reduced fat or sugar; coatings other than chocolate
13140100,"Light ice cream bar, vanilla, chocolate coated",stick; other flavors; fat or sugar free; reduced fat or sugar; light Klondike Bar; with nuts
13140115,"Light ice cream bar, chocolate",stick; other flavors; fat or sugar free; reduced fat or sugar; with nuts; with or without chocolate coating
13140700,Creamsicle,Dreamsicle
13140900,Fudgesicle,
13142100,"Light ice cream cone, vanilla, prepackaged",light sundae cone; other flavors; swirl; any topping; fat or sugar free; reduced fat or sugar
13142110,"Light ice cream cone, chocolate, prepackaged",any topping; fat or sugar free; reduced fat or sugar
13150000,"Sherbet, all flavors",sherbet push pop
13161600,"Fudgesicle, light",sugar free Fudgesicle
13200110,"Pudding, chocolate, NFS","pudding, NFS"
13210110,"Pudding, bread",with raisins
13210280,"Pudding, flavors other than chocolate, NFS",
13210300,Custard,
13210350,Flan,Leche flan
13210370,Creme brulee,
13210410,"Pudding, rice",
13210450,"Firni, Indian pudding",
